survey_long,file,variable,description,sheet,population,definition
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MUFATS1,Monounsaturated Fat (supplement) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PUFATS1,Polyunsaturated Fat (supplement) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LAS1,Linoleic Acid (supplement) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ALAS1,Alpha-linolenic Acid (supplement) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LCN3S1,Omega 3 (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,TRANSS1,Trans Fatty Acids (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,COUNTFD1,Number of foods Day1,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FLIMPNUT,Flag for imputed food records,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ENERGYF1,Energy with dietary fibre (food) Day 1 kJ,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ENRGYF1,Energy without dietary fibre (food) Day 1 kJ,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MOISTF1,Moisture (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PROTF1,Protein (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FATF1,Total fat (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOWSAF1,Carbohydrate with Sugar Alcohols (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOWOAF1,Carbohydrate without Sugar Alcohols (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,STARCHF1,Starch (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SUGARF1,Sugars (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FIBREF1,Dietary fibre (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ALCF1,Alcohol (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PREVAF1,Preformed Vitamin A (food) Day 1 µg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PROVAF1,Provitamin A (food) Day 1 µg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,RETEQF1,Retinol Equivalents (food) Day 1 µg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B1F1,Thiamin (B1) (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B2F1,Riboflavin (B2) (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B3F1,Niacin (B3) (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,NIACINF1,Niacin Equivalents (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLATF1,Folate natural (food) Day 1 µg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLICF1,Folic Acid (food) Day 1 µg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,TOTFOLF1,Total folates (food) Day 1 µg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLEQF1,Dietary folate equivalents (food) Day 1 µg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B6F1,B6 (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B12F1,B12 (food) Day 1 µg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,VITCF1,Vitamin C (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,VITEF1,Vitamin E (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CALCF1,Calcium (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,IODINEF1,Iodine (food) Day 1 µg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,IRONF1,Iron (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MAGF1,Magnesium (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PHOSF1,Phosphorus (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,POTASF1,Potassium (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SELF1,Selenium (food) Day 1 µg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SODIUMF1,Sodium (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ZINCF1,Zinc (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CAFFF1,Caffeine (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOLF1,Cholesterol (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SATFATF1,Saturated Fat (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MUFATF1,Monounsaturated Fat (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PUFATF1,Polyunsaturated Fat (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LAF1,Linoleic Acid (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ALAF1,Alpha-linolenic Acid (food) Day 1 g,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LCN3F1,Omega 3 (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,TRANSF1,Trans Fatty Acids (food) Day 1 mg,Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ATEMLS,"Whether the amount eaten yesterday was more, less or about the same as usual",Risk factors - Nutrition,All persons,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PRASDIET,Child Nutrition Response status (CAPI),Interview details,All persons aged 6 to 17 years,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,NUTDAY2,Day of week of day 2 consumption,Interview details,All persons who completed second (CATI) interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PRXDIETC,Child Nutrition Response status (CATI),Interview details,All persons aged 6 to 17 years,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ENERGYT2,Energy with dietary fibre (total) Day 2 kJ,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ENRGYT2,Energy without dietary fibre (total) Day 2 kJ,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MOISTT2,Moisture (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PROTT2,Protein (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FATT2,Total fat (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOWSAT2,Carbohydrate with Sugar Alcohols (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOWOAT2,Carbohydrate without Sugar Alcohols (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,STARCHT2,Starch (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SUGART2,Sugars (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FIBRET2,Dietary fibre (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ALCT2,Alcohol (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PREVAT2,Preformed Vitamin A (total) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PROVAT2,Provitamin A (total) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,RETEQT2,Retinol Equivalents (total) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B1T2,Thiamin (B1) (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B2T2,Riboflavin (B2) (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B3T2,Niacin (B3) (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,NIACINT2,Niacin Equivalents (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLATT2,Folate natural (total) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLICT2,Folic Acid (total) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,TOTFOLT2,Total folates (total) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLEQT2,Dietary folate equivalents (total) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B6T2,B6 (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B12T2,B12 (total) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,VITCT2,Vitamin C (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,VITET2,Vitamin E (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CALCT2,Calcium (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,IODINET2,Iodine (total) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,IRONT2,Iron (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MAGT2,Magnesium (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PHOST2,Phosphorus (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,POTAST2,Potassium (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SELT2,Selenium (total) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SODIUMT2,Sodium (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ZINCT2,Zinc (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CAFFT2,Caffeine (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOLT2,Cholesterol (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SATFATT2,Saturated Fat (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MUFATT2,Monounsaturated Fat (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PUFATT2,Polyunsaturated Fat (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LAT2,Linoleic Acid (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ALAT2,Alpha-linolenic Acid (total) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LCN3T2,Omega 3 (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,TRANST2,Trans Fatty Acids (total) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PROPER2,Percentage of energy from protein (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FATPER2,Percentage of energy from total fat (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LAPER2,Percentage of energy from linoleic acid (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ALAPER2,Percentage of energy from alpha linolenic acid (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOPER2,Percentage of energy from carbohydrate (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SUGPER2,Percentage of energy from total sugars (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,STARPER2,Percentage of energy from starch (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ALCPER2,Percentage of energy from alcohol (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SATPER2,Percentage of energy from saturated fat + trans fatty acids (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,TRANPER2,Percentage of energy from trans fatty acids (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FIBRPER2,Percentage of energy from fibre (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MONOPER2,Percentage of energy from monounsaturated fat (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,POLYPER2,Percentage of energy from polyunsaturated fat (Day2),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,COUNTSD2,Number of supplements Day2,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PROTS2,Protein (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FATS2,Total fat (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FIBRES2,Dietary fibre (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PREVAS2,Preformed Vitamin A (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PROVAS2,Provitamin A (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,RETEQS2,Retinol Equivalents (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B1S2,Thiamin (B1) (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B2S2,Riboflavin (B2) (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B3S2,Niacin (B3) (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,NIACINS2,Niacin Equivalents (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLICS2,Folic Acid (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLEQS2,Dietary folate equivalents (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B6S2,B6 (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B12S2,B12 (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,VITCS2,Vitamin C (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,VITES2,Vitamin E (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CALCS2,Calcium (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,IODINES2,Iodine (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,IRONS2,Iron (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MAGS2,Magnesium (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PHOSS2,Phosphorus (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,POTASS2,Potassium (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SELS2,Selenium (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SODIUMS2,Sodium (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ZINCS2,Zinc (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CAFFS2,Caffeine (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOLS2,Cholesterol (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SATFATS2,Saturated Fat (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MUFATS2,Monounsaturated Fat (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PUFATS2,Polyunsaturated Fat (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LAS2,Linoleic Acid (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ALAS2,Alpha-linolenic Acid (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LCN3S2,Omega 3 (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,TRANSS2,Trans Fatty Acids (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,NUMRECAL,Number of 24hr recall days,Risk factors - Nutrition,All persons,NA
